Position,Country,Points
1,Germany,1558
2,Brazil,1431
3,Belgium,1298
4,Portugal,1274
5,Argentina,1241
6,Switzerland,1199
7,France,1198
8,Poland,1183
9,Chile,1135
10,Spain,1126
11,Peru,1125
12,Denmark,1051
13,England,1051
14,Uruguay,1018
15,Mexico,989
16,Colombia,986
17,Netherlands,981
18,Wales,953
19,Italy,951
20,Croatia,945
21,Tunisia,910
22,Iceland,908
23,Costa Rica,884
24,Sweden,880
25,United States,873
26,Austria,845
27,Senegal,838
28,Slovakia,804
29,Northern Ireland,803
30,Romania,782
31,Republic of Ireland,777
32,Paraguay,773
33,Venezuela,755
34,Serbia,751
35,Ukraine,733
36,Australia,718
37,Iran,708
38,Turkey,706
39,Congo DR,706
40,Bosnia-Herzegovina,693
41,Morocco,686
42,Scotland,660
43,Montenegro,652
44,Greece,650
45,Egypt,649
46,Czech Republic,641
47,Ghana,624
48,Nigeria,618
49,Bulgaria,614
50,Cameroon,614
51,Hungary,612
52,Burkina Faso,604
53,Norway,596
54,Jamaica,588
55,Panama,571
56,Slovenia,558
57,Korea Republic,544
58,Albania,538
59,Bolivia,536
60,Ecuador,524
61,Japan,521
62,Honduras,503
63,Finland,486
64,Mali,484
65,Cape Verde Islands,478
66,Algeria,474
67,Saudi Arabia,465
68,Ivory Coast,463
69,Guinea,463
70,Russia,457
71,FYR Macedonia,451
72,El Salvador,442
73,Syria,440
74,South Africa,428
75,China PR,423
76,Zambia,420
77,UAE,418
78,Belarus,417
79,Lebanon,411
80,Canada,411
81,Curaçao,408
82,Uganda,403
83,Congo,393
84,Oman,391
85,Gabon,390
86,Luxembourg,390
87,Cyprus,384
88,Benin,379
89,Iraq,377
90,Faroe Islands,376
91,Trinidad and Tobago,370
92,Kyrgyzstan,363
93,Israel,362
94,Estonia,359
95,Uzbekistan,354
96,Georgia,352
97,India,350
98,Qatar,348
99,Palestine,347
100,Armenia,338
101,Libya,336
102,Vietnam,334
103,Niger,323
104,Haiti,322
105,Azerbaijan,321
106,Madagascar,308
107,Mauritania,304
108,Korea DPR,303
109,Central African Republic,303
110,Jordan,296
111,Sierra Leone,292
112,Kenya,291
113,Bahrain,289
114,Mozambique,282
115,Philippines,280
116,Namibia,277
117,Kazakhstan,273
118,Zimbabwe,265
119,Tajikistan,264
120,New Zealand,256
121,Guinea-Bissau,255
122,Thailand,248
123,Malawi,247
124,Chinese Taipei,247
125,Togo,241
126,Lithuania,239
127,Antigua and Barbuda,239
128,Sudan,232
129,Latvia,230
130,Turkmenistan,229
131,Andorra,229
132,Nicaragua,228
133,Yemen,227
134,Swaziland,222
135,St. Kitts and Nevis,218
136,Rwanda,216
137,Angola,209
138,Myanmar,206
139,Botswana,205
140,Tanzania,200
141,Kosovo,197
142,Hong Kong,195
143,Equatorial Guinea,190
144,Solomon Islands,190
145,Afghanistan,188
146,Guatemala,180
147,Lesotho,175
148,Burundi,174
149,Comoros,172
150,Maldives,171
151,Ethiopia,166
152,Dominican Republic,162
153,Suriname,154
154,New Caledonia,150
155,Mauritius,140
156,South Sudan,132
157,Tahiti,130
158,Liberia,129
159,Kuwait,128
160,Barbados,127
161,Nepal,118
162,Vanuatu,117
163,Belize,115
164,Indonesia,111
165,Fiji,104
166,Cambodia,103
167,Papua New Guinea,103
168,Grenada,102
169,Singapore,99
170,St. Lucia,95
171,Malaysia,93
172,Gambia,92
173,St. Vincent / Grenadines,89
174,Puerto Rico,89
175,Chad,88
176,Moldova,88
177,Dominica,86
178,Bermuda,82
179,Laos,82
180,Liechtenstein,80
181,Cuba,75
182,Guyana,73
183,Bhutan,68
184,Malta,65
185,Macao,60
186,Mongolia,51
187,São Tomé e Príncipe,51
188,Seychelles,48
189,Aruba,48
190,Guam,45
191,Timor-Leste,45
192,American Samoa,38
193,Cook Islands,38
194,Bangladesh,35
195,Gibraltar,34
196,Brunei,34
197,Djibouti,32
198,Samoa,32
199,US Virgin Islands,18
200,Sri Lanka,17
201,Pakistan,10
202,Cayman Islands,8
203,San Marino,8
204,British Virgin Islands,4
205,Montserrat,4
206,Turks and Caicos Islands,0
207,Anguilla,0
208,Bahamas,0
209,Eritrea,0
210,Somalia,0
211,Tonga,0
212,Greenland,0
213,Guadeloupe,0
214,Manchukuo,0
215,Martinique,0
216,Saarland,0
217,Yugoslavia,0
218,Zanzibar,0
